TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0x5c366221e272df68c9b845cbadc545f0550c3a5470e97e8ba4e273291815e40e,2708641,2019-07-24 10:13:35.000000Z,0x841C25A1b2bA723591c14636Dc13E4deeb65A79b,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,72461000000000,ok,,,0.02089,0.02091
0x593f252381df0eb682dc88c7d5941d2e01c42a6a9aa8ed7913b3b4531f9c63e1,2708638,2019-07-24 10:13:15.000000Z,0x841C25A1b2bA723591c14636Dc13E4deeb65A79b,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,72461000000000,ok,,,0.02089,0.02091
0x38a74f4630ed847890b65631c85c7f4a3588fd82600470715c2a5b0d3809acca,2707604,2019-07-24 08:18:05.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,2031816000000000,ok,,,0.02089,0.02091
0xe5b8a715dba06afb19ac7839a3edb8b6db4f3e122dc17920ba7e8d5400e5c87f,2647085,2019-07-19 12:24:45.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,137600000000000,ok,,,0.02032,0.02033
0x726d3fafafd28355d470fbeb8ca93ac07b525812e97aeb245770d8b804060469,2647030,2019-07-19 12:18:20.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,136366000000000,ok,,,0.02032,0.02033
0x01fdd74f65d08b8dac988883cd91b7e339b0061c36fad74158d8b68a0513e060,2647025,2019-07-19 12:17:50.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,135132000000000,ok,,,0.02032,0.02033
0xf43bab1fd6db42f532e6bb28144691958c1884f1e33c3e1c2b943ba3805eddca,2635848,2019-07-18 15:05:30.000000Z,0xdDdCb89201F5A24891610b033351a5408A081f98,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,209991000000000,ok,,,0.01978,0.02032
0xe125533c3d4a941b87d4f5461848e1e8975d17df546f0c132841cc5a60c829b4,2635844,2019-07-18 15:05:05.000000Z,0xdDdCb89201F5A24891610b033351a5408A081f98,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,209991000000000,ok,,,0.01978,0.02032
0x1b75e4e35dca39d2b0a69679fee7b8c185df0af39dc5791d34ca77462595cc2b,2621807,2019-07-17 13:03:45.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,509982000000000,ok,,,0.01866,0.01978
0xf83c6236c20cd4b7de842a8db257b3e9f314cb18ee388250256e7fe802549c34,2621805,2019-07-17 13:03:25.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,419982000000000,ok,,,0.01866,0.01978
0x3302d5a5f25f226a942ef5e689cfde41e85ddeb8746588c9788934e4be28996a,2526102,2019-07-09 06:03:25.000000Z,0x8De281f47B137979e55B6CEa598179737574C774,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,169994000000000,ok,,,0.02988,0.02865
0xc3684341613adb10fb73ea2b1b4e92eade7262e15e105e730b3f40c3bff6babd,2526090,2019-07-09 06:02:10.000000Z,0x8De281f47B137979e55B6CEa598179737574C774,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,200122000000000,ok,,,0.02988,0.02865
0x7f6b7d75031c89418acf1cefa0d660c9b601b476609d4dab43350f8877f555fc,2462837,2019-07-04 12:48:05.000000Z,0x9583259D41D3409a11e73addAdC399f391e7957d,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,84997000000000,ok,,,0.03187,0.02945
0xf48862167edd54a2e0c3f012af6054a1aacc7fb2d6b0a3db8b86281885d4a053,2462836,2019-07-04 12:48:00.000000Z,0x9583259D41D3409a11e73addAdC399f391e7957d,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,84997000000000,ok,,,0.03187,0.02945
0x25ecb9b14d5bb25fe28d1d74711e6390eba5d5e32ee891945f29362c9171d1d6,2461053,2019-07-04 09:31:45.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,3482912400000000,ok,,,0.03187,0.02945
0x28a9ef9e61a778dc884aa8b9843ff0e2b3520dc149c76e98b717ebf1d6aedfac,2460887,2019-07-04 09:13:20.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,287652000000000000,ok,,,0.03187,0.02945
0xa3296399c0add0af4304c8eb6e5590a8de84c8df8636cc577b2774d448e07dc2,2460778,2019-07-04 09:01:10.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,66949000000000000,ok,,,0.03187,0.02945
0xf529e70e154f324bb59eec5f09445a2fd256f4f5b095f136cda390a1ce91f945,2460406,2019-07-04 08:19:50.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,5182500000000000000,ok,,,0.03187,0.02945
0x60ef920cfab425d7c764a7adcc9333ecf2324f4dadfbaa55f1a7589881a4126c,2460394,2019-07-04 08:18:30.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,118319000000000000,ok,,,0.03187,0.02945
0xf7b1c7a092c567c3e28710f5ff43b1f13fb7b63668d32f816ac9d2356dea79e7,2460387,2019-07-04 08:17:45.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,119365000000000000,ok,,,0.03187,0.02945
0xb29ea4c8728e145e0be7dc5d46c08c9440d3afdaeec6cd419d9e80285e26f40e,2460380,2019-07-04 08:16:55.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,51659500000000000,ok,,,0.03187,0.02945
0x74097626729c94f5b801a9f763fdd926c7d655c8ace523c6ceb74b0cbd77425e,2460346,2019-07-04 08:13:10.000000Z,0xaA84378fA41da83a9B6523bA46E45A664FbEBFC8,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,118981000000000,ok,,,0.03187,0.02945
0xc3caf3af0e80756517e132f0f32f14316a60fcc65ed23e078afd1720f21f6fd4,2331943,2019-06-25 17:04:25.000000Z,0xe659bc6A60Ba2091c08F7df623BA6057349B6980,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,844450000000000,ok,,,0.04017,0.03956
0x7bb507a35133b1503399bea03bce65604d2ad750b39c6fc41413a207e70b90c8,2331937,2019-06-25 17:03:50.000000Z,0xe659bc6A60Ba2091c08F7df623BA6057349B6980,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,994450000000000,ok,,,0.04017,0.03956
0x154eee1095c3cd2d790f7e1bd7b57c6e3820028e4a638de7a5040bf165a092e0,2331934,2019-06-25 17:03:35.000000Z,0xe659bc6A60Ba2091c08F7df623BA6057349B6980,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,844450000000000,ok,,,0.04017,0.03956
0xc5a95a2f72c7c42892812ee788cc7319bfe47300bf17f46c1e0394a4d1d3bec2,2331931,2019-06-25 17:03:20.000000Z,0xe659bc6A60Ba2091c08F7df623BA6057349B6980,0x19e51aFD3EfA98A6E4B82D3834DE174D7a33f9B5,,IN,0,693810000000000,ok,,,0.04017,0.03956
